date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-01-04,sh.000001,3536.5890,3538.6890,3295.7410,3296.2580,3539.1820,18441842432,240929157120.0000,3,0.006728,1,-6.863800,,,,,
2016-01-05,sh.000001,3196.6510,3328.1390,3189.6050,3287.7110,3296.2580,26688208384,328417226752.0000,3,0.009738,1,-0.259300,,,,,
2016-01-06,sh.000001,3291.1950,3362.9740,3288.9330,3361.8400,3287.7110,23888667136,285243224064.0000,3,0.008716,1,2.254700,,,,,
2016-01-07,sh.000001,3309.6570,3309.6570,3115.8850,3125.0020,3361.8400,7056912384,79981989888.0000,3,0.002572,1,-7.044900,,,,,
2016-01-08,sh.000001,3194.6250,3235.4510,3056.8780,3186.4120,3125.0020,28644082176,324167135232.0000,3,0.010425,1,1.965100,,,,,
2016-01-11,sh.000001,3131.8530,3166.2150,3016.6970,3016.7040,3186.4120,27164369152,286379626496.0000,3,0.009882,1,-5.326000,,,,,
2016-01-12,sh.000001,3026.1590,3047.6640,2978.4630,3022.8610,3016.7040,20765962240,224135434240.0000,3,0.007553,1,0.204100,,,,,
2016-01-13,sh.000001,3041.1070,3059.0150,2949.2900,2949.5970,3022.8610,19428210688,208376045568.0000,3,0.007066,1,-2.423700,,,,,
2016-01-14,sh.000001,2874.0490,3012.2930,2867.5530,3007.6490,2949.5970,21290564352,218013655040.0000,3,0.007744,1,1.968100,,,,,
2016-01-15,sh.000001,2988.0480,3001.7080,2883.8680,2900.9700,3007.6490,19872169728,206603968512.0000,3,0.007229,1,-3.546900,,,,,
2016-01-18,sh.000001,2847.5390,2945.4500,2844.7040,2913.8370,2900.9700,16469969408,173619961856.0000,3,0.005989,1,0.443500,,,,,
2016-01-19,sh.000001,2914.4080,3012.0680,2906.4040,3007.7390,2913.8370,20527970304,222674800640.0000,3,0.007465,1,3.222600,,,,,
2016-01-20,sh.000001,2993.0140,3016.2830,2951.9220,2976.6940,3007.7390,21650547456,234562924544.0000,3,0.007873,1,-1.032200,,,,,
2016-01-21,sh.000001,2934.3910,2998.7900,2880.0850,2880.4820,2976.6940,19167566848,203634573312.0000,3,0.006970,1,-3.232200,,,,,
2016-01-22,sh.000001,2911.1120,2931.3590,2851.7330,2916.5620,2880.4820,15981073408,170062245888.0000,3,0.005811,1,1.252600,,,,,
2016-01-25,sh.000001,2934.0780,2955.7830,2911.8290,2938.5150,2916.5620,15303905792,164023398400.0000,3,0.005562,1,0.752700,,,,,
2016-01-26,sh.000001,2907.7180,2911.9910,2743.8390,2749.7850,2938.5150,21083605504,212608151552.0000,3,0.007663,1,-6.422600,,,,,
2016-01-27,sh.000001,2756.0820,2768.7720,2638.3020,2735.5580,2749.7850,21572204544,207426674688.0000,3,0.007840,1,-0.517400,,,,,
2016-01-28,sh.000001,2711.1580,2740.5360,2647.4930,2655.6610,2735.5580,17112027904,167357415424.0000,3,0.006218,1,-2.920700,,,,,
2016-01-29,sh.000001,2652.8540,2755.3670,2649.7910,2737.6000,2655.6610,18667310592,180006813696.0000,3,0.006783,1,3.085500,,,,,
2016-02-01,sh.000001,2730.9840,2735.2550,2655.6230,2688.8540,2737.6000,15638374400,152830742528.0000,3,0.005681,1,-1.780600,,,,,
2016-02-02,sh.000001,2687.9820,2755.1590,2687.9820,2749.5700,2688.8540,15807821056,158936801280.0000,3,0.005743,1,2.258100,,,,,
2016-02-03,sh.000001,2719.5740,2746.0720,2696.8840,2739.2470,2749.5700,14839721728,146627121152.0000,3,0.005391,1,-0.375400,,,,,
2016-02-04,sh.000001,2751.4320,2793.2980,2751.3140,2781.0230,2739.2470,17038201856,175347388416.0000,3,0.006190,1,1.525100,,,,,
2016-02-05,sh.000001,2783.0760,2790.0610,2762.1600,2763.4920,2781.0230,14118628352,145553629184.0000,3,0.005128,1,-0.630400,,,,,
2016-02-15,sh.000001,2684.9610,2760.3590,2682.0900,2746.1960,2763.4920,12926393088,129321054208.0000,3,0.004694,1,-0.625900,,,,,
